User: user1 | Action: Client connected
User: user1 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: File uploaded
User: user1 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: Client connected
User: user1 | Action: Client connected
User: user1 | Action: Client connected
User: user1 | Action: Client connected
User: user1 | Action: File downloaded
User: user1 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: File downloaded
User: user1 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: File downloaded
User: user1 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: File uploaded
User: user1 | Action: Client disconnected
User: user2 | Action: Client connected
User: user2 | Action: File uploaded
User: user2 | Action: Client disconnected
User: user2 | Action: Client connected
User: user2 | Action: File uploaded
User: user2 | Action: Client disconnected
User: user2 | Action: Client connected
User: user2 | Action: File uploaded
User: user2 | Action: Client disconnected
User: user1 | Action: Client connected
User: user1 | Action: File downloaded
User: user1 | Action: Client disconnected
